Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,AQI,AQI_Bucket
19-04-2020,14.61,56.17,15.55,33.08,30.24,8.47,0.11,8.72,10.53,55,Satisfactory
20-04-2020,9.08,35.35,16.21,30.16,29.22,8.35,0.11,6.56,9.46,47,Good
21-04-2020,10.32,51.36,18.55,23.99,27.59,8.48,0.11,3.58,10.7,48,Good
22-04-2020,8.61,32.8,8.19,25.18,20.05,8.68,0.11,7.24,12,37,Good
23-04-2020,8.41,37.46,10.88,24.6,21.92,8.31,0.11,6.42,9.79,36,Good
27-04-2020,10.47,40.29,3.4,21.59,12.95,6.5,0.11,5.58,20.53,31,Good
28-04-2020,12.81,46.6,0.73,15.19,7.24,7.68,0.11,6.04,30,47,Good
29-04-2020,7.81,46.54,1.73,18.79,10.82,7.96,0.11,8.02,20.17,49,Good
30-04-2020,18.16,66.09,1.68,16.27,9.74,8.18,0.11,7.01,30.36,61,Satisfactory
01-05-2020,11.91,48.54,2.52,16.76,10.83,8.24,0.11,7.46,28.84,56,Satisfactory
02-05-2020,23.14,78.4,0.73,23.73,13.11,8.82,0.11,6.94,38.06,62,Satisfactory
03-05-2020,18.91,67.79,3.03,24.04,15.15,8.38,0.11,5.84,22.73,90,Satisfactory
04-05-2020,17.54,68.24,1.23,15.64,9.1,8.23,0.11,8.31,16.15,65,Satisfactory
05-05-2020,8.93,45.07,2.07,12.81,8.43,7.87,0.11,8.22,13.88,55,Satisfactory
06-05-2020,9.03,45.89,2.72,19.43,12.5,8.14,0.11,8.96,13.65,41,Good
07-05-2020,11.3,51.48,1.56,18.09,10.73,8.04,0.11,8.88,18.67,51,Satisfactory
08-05-2020,12.14,50.8,2.83,18.43,12.07,7.79,0.11,10.45,10.99,48,Good
09-05-2020,9.53,40.67,1.39,12.9,7.95,7.94,0.11,7.32,11.38,51,Satisfactory
10-05-2020,16.51,58.2,0.85,24.04,13.44,9.09,0.11,6.41,24.02,46,Good
11-05-2020,14.04,51.69,1.59,14.28,8.87,8.43,0.11,5.58,11.15,61,Satisfactory
12-05-2020,6.9,42.63,2.35,12.63,7.91,10.88,0.11,6.46,20.14,45,Good
13-05-2020,8.42,50.06,2.09,14.05,9.15,11.07,0.11,6.96,14.28,49,Good
14-05-2020,11.88,45.86,2.73,11.76,8.43,12.04,0.11,7.66,14.72,50,Good
15-05-2020,11.07,42.11,3.17,11.71,8.78,11.96,0.11,9.7,17.92,44,Good
16-05-2020,2,17.99,1.29,10.24,6.11,9.48,0.11,8.86,19.75,32,Good
17-05-2020,6.3,17.76,1.09,12.21,7.07,7.4,0.11,8.56,17.14,23,Good
18-05-2020,11.18,36.23,1.47,18.69,10.97,6.78,0.11,7.87,18.33,26,Good
19-05-2020,26.88,76.7,2,28.32,16.46,7.56,0.11,10.13,24.73,52,Satisfactory
20-05-2020,66.22,203.26,11.97,58.99,40.98,11.85,0.11,8.24,37.59,141,Moderate
21-05-2020,45.53,150.21,3.5,48.13,27.74,12.68,0.11,11.82,33.44,145,Moderate
22-05-2020,24.8,90.94,4.34,39.51,24.12,18.93,0.11,6.37,30.61,117,Moderate
23-05-2020,15.91,81.11,3.27,23.59,14.25,13.57,0.11,8.48,37.58,79,Satisfactory
24-05-2020,10.99,72.39,1.38,20.53,11.8,10.25,0.11,8.73,27.09,80,Satisfactory
25-05-2020,18.69,75.86,2.76,21.06,13.59,10.77,0.11,7.19,24.62,74,Satisfactory
26-05-2020,12.35,68.72,1.74,20.24,12.06,9.8,0.11,9.69,23.61,67,Satisfactory
27-05-2020,26.6,121.23,1.69,20.04,11.9,8.58,0.63,8.42,28.8,54,Satisfactory
28-05-2020,26.94,102,1.63,20.67,12.23,8.67,0.65,7.34,23.8,100,Satisfactory
29-05-2020,16.71,62.53,2.6,23.89,13.61,10.62,0.63,7.79,24.1,87,Satisfactory
30-05-2020,28.1,84.8,7.43,50.99,27.93,9.21,0.76,16.45,14.82,81,Satisfactory
31-05-2020,21.22,79.53,2.38,24.88,14.92,11.03,0.57,5.43,17.49,40,Good
01-06-2020,15.68,81.88,1.91,20.61,12.15,8.25,0.5,5.82,21.15,85,Satisfactory
02-06-2020,9.91,43.3,2.81,19.91,12.6,9.16,0.47,8.78,19.68,50,Good
03-06-2020,17.94,102.58,5.6,30.32,20.59,9.49,0.58,6.48,23.82,88,Satisfactory
04-06-2020,19.14,77.06,4.12,35.57,22.18,8.82,0.68,7.19,25.56,71,Satisfactory
05-06-2020,29.71,112.53,2.98,44.77,24.69,10.51,0.85,10.64,21.94,93,Satisfactory
06-06-2020,21.66,74.97,3.38,38.42,22.56,8.63,0.64,7.02,28.86,101,Moderate
07-06-2020,29.69,101.97,2.84,35.51,20.66,9.85,0.57,5.32,31.71,82,Satisfactory
08-06-2020,31.14,125.15,6.55,41.56,27.26,9.71,0.64,6.61,36.65,115,Moderate
09-06-2020,31.84,85.41,4.69,50.11,30.35,10.01,0.88,5.06,33.86,96,Satisfactory
10-06-2020,32.55,79.28,4.78,44.59,27.38,9.34,0.69,5.9,35.06,92,Satisfactory
11-06-2020,37.71,98.53,9.97,52.1,35.79,9.91,0.7,5.59,26.59,90,Satisfactory
12-06-2020,37.67,76.27,12.17,53.59,35.52,9.85,0.97,5.74,17.35,84,Satisfactory
13-06-2020,22.75,86.77,3.85,38.23,22.6,9.24,0.67,10.7,27.24,81,Satisfactory
14-06-2020,21.33,83.23,2.81,34.56,20.43,9.78,0.58,9.37,29.44,88,Satisfactory
15-06-2020,24.66,100.53,3.66,37.93,22.97,9.22,0.71,7.02,28.63,92,Satisfactory
16-06-2020,21.06,80.51,6.67,40.33,26.81,8.81,0.63,11.09,21.69,83,Satisfactory
17-06-2020,17.05,73.22,6.08,36.31,24.23,6.69,0.54,11.08,26.09,90,Satisfactory
18-06-2020,21.16,88.8,4.94,42.96,26.79,3.22,0.68,11.05,27.65,71,Satisfactory
19-06-2020,14.41,66.81,6.22,40.06,26.1,7.51,1.07,13.23,27.34,110,Moderate
20-06-2020,26.67,86.29,3.78,37.36,22.46,15.05,0.74,11.76,41.97,74,Satisfactory
21-06-2020,25.96,91.75,5.65,40.22,25.78,13.32,0.71,10.1,38.27,92,Satisfactory
22-06-2020,33.17,108.22,5.58,42.45,27.06,13.7,0.73,13.65,34.85,95,Satisfactory
23-06-2020,25.4,83.38,2.76,34.09,19.92,13.13,0.54,10.4,43.27,100,Satisfactory
24-06-2020,34.36,90.9,1.22,23.38,13.12,14.45,0.56,10.92,35.12,86,Satisfactory
25-06-2020,13.45,58.54,2.3,21.6,13.09,12.27,0.41,8.19,29.38,77,Satisfactory
26-06-2020,7.63,32.27,5.91,23.27,17.19,11.15,0.46,6.87,19.9,47,Good
27-06-2020,15.02,50.94,7.68,25.06,19.54,12.47,0.47,8.55,23.3,41,Good
28-06-2020,24.38,74.09,3.42,26.06,16.53,11.99,0.52,12.72,30.14,70,Satisfactory
